Security,Block,Prev_Quality,New_Quality,Quality_Loss,Future_Return,Event_Type,Quality_Jump
AB,9,57.70181,52.251896,5.449913,24.007957458496094,DROP,
AB,10,52.251896,33.979908,18.271988,23.46308708190918,DROP,
AB,12,103.65305,81.233574,22.41948,,DROP,
AB,13,81.233574,19.944904,61.28867,,DROP,
AB,17,77.8662,1.7052516,76.16095,,DROP,
AB,26,133.37425,71.31318,62.061073,,DROP,
AB,27,71.31318,55.905064,15.408115,,DROP,
AB,28,55.905064,36.619503,19.28556,,DROP,
ABBV,2,60.395336,37.509712,22.885624,-10.927057266235352,DROP,
ABBV,6,124.725586,80.899956,43.82563,40.901451110839844,DROP,
ABBV,8,104.30099,57.70181,46.59918,37.35931396484375,DROP,
ABBV,9,57.70181,52.251896,5.449913,29.85749626159668,DROP,
ABBV,10,52.251896,33.979908,18.271988,18.96083641052246,DROP,
ABBV,19,212.09514,101.716034,110.379105,,DROP,
ABBV,20,101.716034,24.893658,76.82237,,DROP,
ABBV,27,71.31318,55.905064,15.408115,,DROP,
ABBV,28,55.905064,4.8249474,51.080116,,DROP,
ABBV,31,51.64677,24.380156,27.266615,,DROP,
ABBY,5,90.74465,2.7169757,88.02768,-99.75,DROP,
ABBY,8,104.30099,8.752344,95.548645,0.0,DROP,
ABBY,22,124.158134,104.38473,19.773407,,DROP,
ABBY,23,104.38473,61.49995,42.884777,,DROP,
ABBY,25,634.9075,240.42279,394.48468,,DROP,
ABBY,26,240.42279,-13.765816,254.1886,,DROP,
ABEO,3,100.25678,67.56486,32.691925,-86.40647888183594,DROP,
ABEO,4,67.56486,27.08955,40.475307,-44.97508239746094,DROP,
ABEO,8,104.30099,57.70181,46.59918,31.932010650634766,DROP,
ABEO,9,57.70181,52.251896,5.449913,76.13070678710938,DROP,
ABEO,10,52.251896,10.308465,41.94343,47.074771881103516,DROP,
ABG,4,2437.5896,1427.1494,1010.4402,106.6044692993164,DROP,
ABG,5,1427.1494,1129.1366,298.01282,153.21554565429688,DROP,
ABG,6,1129.1366,674.15216,454.98444,27.594593048095703,DROP,
ABG,7,674.15216,-32.83367,706.98584,29.437116622924805,DROP,
ABG,10,52.251896,33.979908,18.271988,-3.122962236404419,DROP,
ABG,12,103.65305,-0.049526032,103.702576,,DROP,
ABG,16,48.1791,32.245277,15.933823,,DROP,
ABG,19,112.222466,101.716034,10.506432,,DROP,
ABG,20,101.716034,-35.71622,137.43225,,DROP,
ABG,26,133.37425,71.31318,62.061073,,DROP,
ABG,28,108.97116,-35.58133,144.55249,,DROP,
ABGOF,17,61.347836,27.855862,33.491974,,DROP,
ABGOF,25,634.9075,240.42279,394.48468,,DROP,
ABGOF,27,402.58472,108.97116,293.61356,,DROP,
ABGOF,28,108.97116,36.619503,72.351654,,DROP,
ABGOF,31,51.64677,7.8575935,43.789177,,DROP,
ABT,6,124.725586,80.899956,43.82563,-10.058906555175781,DROP,
ABT,8,104.30099,57.70181,46.59918,12.576725006103516,DROP,
ABT,9,57.70181,52.251896,5.449913,16.619022369384766,DROP,
ABT,10,52.251896,33.979908,18.271988,22.989133834838867,DROP,
ABT,12,103.65305,81.233574,22.41948,,DROP,
ABT,13,81.233574,34.94369,46.289883,,DROP,
ABT,15,57.139645,48.1791,8.960545,,DROP,
ABT,16,48.1791,32.245277,15.933823,,DROP,
ABT,18,106.62417,11.941115,94.68305,,DROP,
ABT,20,101.716034,57.084213,44.63182,,DROP,
ABT,22,124.158134,104.38473,19.773407,,DROP,
ABT,23,104.38473,61.49995,42.884777,,DROP,
ABT,28,532.5454,36.619503,495.9259,,DROP,
ABUS,5,90.74465,2.7169757,88.02768,10.440309524536133,DROP,
ABUS,8,104.30099,57.70181,46.59918,102.65930938720703,DROP,
ABUS,9,57.70181,52.251896,5.449913,48.90238952636719,DROP,
ABUS,10,52.251896,10.308465,41.94343,14.9655179977417,DROP,
ABUS,12,103.65305,81.233574,22.41948,,DROP,
ABUS,13,81.233574,19.944904,61.28867,,DROP,
ABUS,26,240.42279,8.935532,231.48726,,DROP,
ABUS,29,158.45721,64.79518,93.66203,,DROP,
ABUS,30,64.79518,-26.819294,91.61447,,DROP,
ACAD,7,674.15216,-32.83367,706.98584,-10.20275592803955,DROP,
ACAD,15,57.139645,48.1791,8.960545,,DROP,
ACAD,19,112.222466,76.950485,35.27198,,DROP,
ACAD,20,76.950485,24.893658,52.056828,,DROP,
ACAD,22,124.158134,-6.61628,130.77441,,DROP,
ACAD,24,61.49995,-20.303892,81.80384,,DROP,
ACAD,31,51.64677,-15.356124,67.00289,,DROP,
ACAZF,5,90.74465,-47.179478,137.92413,49.233585357666016,DROP,
ACAZF,8,104.30099,57.70181,46.59918,12.584391593933105,DROP,
ACAZF,9,57.70181,52.251896,5.449913,4.661182880401611,DROP,
ACAZF,10,52.251896,10.308465,41.94343,0.39710578322410583,DROP,
ACAZF,17,77.8662,1.7052516,76.16095,,DROP,
ACAZF,26,133.37425,71.31318,62.061073,,DROP,
ACAZF,28,108.97116,-42.165558,151.13672,,DROP,
ACAZF,31,51.64677,-31.199368,82.84614,,DROP,
ACCFF,5,90.74465,-47.179478,137.92413,47.92146682739258,DROP,
ACCFF,8,104.30099,57.70181,46.59918,-51.5624885559082,DROP,
ACCFF,9,57.70181,52.251896,5.449913,-50.2061767578125,DROP,
ACCFF,10,52.251896,33.979908,18.271988,-50.2061767578125,DROP,
ACCFF,15,52.48662,0.7474901,51.739132,,DROP,
ACCFF,27,176.21619,55.905064,120.31113,,DROP,
ACCFF,28,55.905064,29.646275,26.25879,,DROP,
ACCYY,6,124.725586,80.899956,43.82563,-22.374101638793945,DROP,
ACCYY,8,104.30099,57.70181,46.59918,109.82205963134766,DROP,
ACCYY,10,110.84409,33.979908,76.86418,19.199466705322266,DROP,
ACCYY,20,101.716034,-35.71622,137.43225,,DROP,
ACCYY,27,71.31318,-23.992275,95.30545,,DROP,
ACGBF,3,100.25678,67.56486,32.691925,-29.203540802001953,DROP,
ACGBF,5,312.2425,124.725586,187.5169,-9.900980949401855,DROP,
ACGBF,6,124.725586,39.07087,85.65472,-10.55276870727539,DROP,
ACGBF,10,110.84409,69.411064,41.43303,61.42856979370117,DROP,
ACGBF,11,69.411064,14.105149,55.305916,16.89653778076172,DROP,
ACGBF,26,72.62254,8.935532,63.68701,,DROP,
ACGBF,31,51.64677,24.380156,27.266615,,DROP,
ACGBY,3,100.25678,67.56486,32.691925,-30.241287231445312,DROP,
ACGBY,5,312.2425,124.725586,187.5169,-6.702118873596191,DROP,
ACGBY,6,124.725586,39.07087,85.65472,-12.880745887756348,DROP,
ACGBY,10,110.84409,69.411064,41.43303,41.00800323486328,DROP,
ACGBY,11,69.411064,14.105149,55.305916,10.31984806060791,DROP,
ACGBY,26,72.62254,8.935532,63.68701,,DROP,
ACGBY,31,51.64677,24.380156,27.266615,,DROP,
ACGL,3,100.25678,67.56486,32.691925,6.620387554168701,DROP,
ACGL,5,1427.1494,1129.1366,298.01282,71.80567932128906,DROP,
ACGL,6,1129.1366,39.07087,1090.0657,81.5842056274414,DROP,
ACGL,15,57.139645,48.1791,8.960545,,DROP,
ACGL,16,48.1791,32.245277,15.933823,,DROP,
ACGL,19,112.222466,76.950485,35.27198,,DROP,
ACGL,20,76.950485,-35.71622,112.6667,,DROP,
ACGL,26,133.37425,71.31318,62.061073,,DROP,
ACGL,28,108.97116,36.619503,72.351654,,DROP,
ACGL,31,51.64677,24.380156,27.266615,,DROP,
ACGYF,3,100.25678,67.56486,32.691925,-47.83258056640625,DROP,
ACGYF,5,1427.1494,124.725586,1302.4238,57.57575607299805,DROP,
ACGYF,6,124.725586,39.07087,85.65472,26.947372436523438,DROP,
ACGYF,27,71.31318,-23.992275,95.30545,,DROP,
ACHC,7,80.899956,34.203957,46.696,25.272878646850586,DROP,
ACHC,12,103.65305,33.410477,70.24258,,DROP,
ACHC,27,71.31318,55.905064,15.408115,,DROP,
ACHC,28,55.905064,29.646275,26.25879,,DROP,
ACHV,16,48.1791,-13.236644,61.415745,,DROP,
ACHV,25,634.9075,240.42279,394.48468,,DROP,
ACHV,26,240.42279,8.935532,231.48726,,DROP,
ACIW,6,124.725586,80.899956,43.82563,-32.48942947387695,DROP,
ACIW,7,80.899956,34.203957,46.696,-19.617733001708984,DROP,
ACIW,13,81.233574,34.94369,46.289883,,DROP,
ACIW,15,57.139645,48.1791,8.960545,,DROP,
ACIW,17,61.347836,27.855862,33.491974,,DROP,
ACIW,19,212.09514,101.716034,110.379105,,DROP,
ACIW,20,101.716034,24.893658,76.82237,,DROP,
ACIW,24,116.81446,72.53841,44.276054,,DROP,
ACIW,27,71.31318,-23.992275,95.30545,,DROP,
ACLS,3,100.25678,67.56486,32.691925,26.09556007385254,DROP,
ACLS,5,1427.1494,124.725586,1302.4238,121.34954071044922,DROP,
ACLS,6,124.725586,80.899956,43.82563,224.3408203125,DROP,
ACLS,8,104.30099,57.70181,46.59918,69.88475799560547,DROP,
ACLS,9,57.70181,10.331876,47.369934,-60.73427200317383,DROP,
