Security,Mean_Return,Std_Return,Min_Return,Max_Return,Num_Periods,Block_ID,Cluster_ID,Start_Price_Avg,End_Price_Avg
FBDS,113913.81390390682,0.0,113913.81390390683,113913.81390390683,10,0,44,0.0025989999994635,2.9632190227508546
CUBT,111160.00193685989,0.0,111160.0019368599,111160.0019368599,10,0,18,9.999999747378752e-05,0.11125999912619586
MNIZ,108299.9954830913,0.0,108299.9954830913,108299.9954830913,10,0,61,0.0010000000474973997,1.0840000063180923
PECN,99900.000291038,0.0,99900.000291038,99900.000291038,10,0,61,1.9999999494757503e-05,0.0199999995529651
BUSC,99900.0002910375,0.0,99900.0002910375,99900.0002910375,10,0,30,9.999999747378752e-06,0.0099999997764825
AFFN,99900.0002910375,0.0,99900.0002910375,99900.0002910375,10,0,61,9.999999747378752e-06,0.0099999997764825
TNMD,98255.00369585963,0.0,98255.00369585963,98255.00369585963,10,0,61,0.0001999999949475,0.19671000242233272
MJWL,94929.0025935151,0.0,94929.0025935151,94929.0025935151,10,0,55,9.999999747378752e-05,0.09502900019288057
AQFD,91900.00250292945,0.0,91900.00250292945,91900.00250292945,10,0,61,9.999999747378752e-05,0.0920000001788139
USLQ,89899.99839928918,0.0,89899.99839928918,89899.99839928918,10,0,61,9.999999747378752e-06,0.008999999612569799
TORVF,88512.85991241747,0.0,88512.85991241747,88512.85991241747,10,0,28,0.00013999999646327252,0.12405800074338909
ITRX,87500.00018044369,0.0,87500.00018044369,87500.00018044369,10,0,4,9.999999747378752e-05,0.08759999796748155
CIVX,82150.00205545763,0.0,82150.00205545763,82150.00205545763,10,0,38,9.999999747378752e-06,0.00822499999776478
RGVNF,79900.00582076614,0.0,79900.00582076614,79900.00582076614,10,0,61,9.999999747378752e-06,0.0080000003799796
BGUUF,79900.00023283061,0.0,79900.00023283061,79900.00023283061,10,0,60,9.999999747378752e-05,0.07999999821186062
MTPP,77270.0010950316,0.0,77270.0010950316,77270.0010950316,10,0,60,9.999999747378752e-05,0.07736999914050098
PIFR,76390.00256768546,0.0,76390.00256768546,76390.00256768546,10,0,30,9.999999747378752e-05,0.07649000063538547
MONI,74550.00248491699,0.0,74550.00248491699,74550.00248491699,10,0,10,8.199999792850577e-05,0.061213000491261424
DPLS,68760.71672863184,0.0,68760.71672863184,68760.71672863184,10,0,24,0.00013999999646327252,0.0964050009846687
RBSY,64908.3363164841,0.0,64908.3363164841,64908.3363164841,10,0,45,0.00011999999696853002,0.07801000160907272
GRGG,63899.99999999998,0.0,63899.99999999998,63899.99999999998,10,0,48,9.999999747378752e-06,0.006399999838322399
GRXXF,63552.63065403581,0.0,63552.630654035805,63552.630654035805,10,0,61,0.00019000000247614875,0.12093999981880185
SFWJ,61530.00234213077,0.0,61530.00234213077,61530.00234213077,10,0,33,9.999999747378752e-05,0.06163000078522596
PECD,59900.002037267535,0.0,59900.00203726754,59900.00203726754,10,0,53,9.999999747378752e-06,0.006000000052154
KRTL,53730.00100044419,0.0,53730.00100044418,53730.00100044418,10,0,35,9.999999747378752e-05,0.05382999964058397
TIPS,50840.00155268935,0.0,50840.00155268935,50840.00155268935,10,0,38,9.999999747378752e-05,0.05094000026583667
TEXG,49900.00014551824,0.0,49900.00014551824,49900.00014551824,10,0,0,9.999999747378752e-06,0.0049999998882412
IVBT,49899.99956538334,0.0,49899.99956538334,49899.99956538334,10,0,61,0.006000000052154,3.0
CYBL,49235.0011652446,0.0,49235.0011652446,49235.0011652446,10,0,62,9.999999747378752e-05,0.04933499991893764
AVVH,48100.000922591404,0.0,48100.000922591404,48100.000922591404,10,0,54,9.999999747378752e-05,0.04819999970495696
RIVT,46900.00050931689,0.0,46900.00050931689,46900.00050931689,10,0,62,9.999999747378752e-06,0.004699999932199701
GVSI,45760.000368163404,0.0,45760.000368163404,45760.000368163404,10,0,8,9.999999747378752e-05,0.04585999920964235
NRCD,44900.002924935,0.0,44900.002924935,44900.002924935,10,0,28,9.999999747378752e-05,0.0450000017881393
BLITF,43471.4311468241,0.0,43471.4311468241,43471.4311468241,10,0,29,0.0006999999750405001,0.3050000071525574
SRNW,42567.08483052923,0.0,42567.08483052923,42567.08483052923,10,0,2,0.00023999999393699997,0.1024010010063648
AHELF,41896.99921660295,0.0,41896.99921660295,41896.99921660295,10,0,59,0.003000000026077,1.259909987449646
