Security,Num_Blocks,Avg_Change_Per_Block,Max_Increase,Max_Decrease,Early_Cluster_Quality,Late_Cluster_Quality,Quality_Improvement,Final_Return
ACIC,10,-1.2333999088965975,8.073394495412844,-12.307692307692307,12.37182188509622,6.716868585115361,-5.654953299980858,-69.1823898666748
ACITF,10,-0.4220107293142957,11.038930021495105,-14.607685879012243,6.641001450885738,0.4177926418194386,-6.223208809066299,38.461549042244926
ACIU,10,1.1741527823927536,7.780454839278368,-6.14100185528757,0.5563730801296484,6.157023804082628,5.600650723952979,0.0
ACIW,10,-0.5587005587005587,4.114114114114115,-6.966490299823632,6.501446084779418,10.56923037599366,4.067784291214243,-1.5388059045578066
ACIXF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ACJJF,10,-1.3593961950016484,4.957360155920752,-10.158463868968619,11.260122978872978,2.1045336067991993,-9.155589372073779,0.0
ACKAF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ACKAY,10,-0.18518518518518498,5.307602045092615,-3.855721393034825,7.34723816813369,6.2949459391501135,-1.0522922289835765,18.49368138805145
ACKDF,10,-0.6204906204906204,4.944710348242284,-7.642744892613933,13.306371957449526,10.079677786533578,-3.2266941709159482,-8.18457433686288
ACKRF,10,1.0668938379781754,5.733966018674422,-7.062048421853214,8.587678773686756,10.969135995996846,2.3814572223100896,110.29412098241824
ACLEW,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ACLHF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ACLIF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ACLLF,10,0.5933040265035677,6.3968515037593985,-4.72610096670247,5.467814612192107,5.353857081007239,-0.11395753118486862,-10.397172838744323
ACLLY,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ACLS,10,-1.262626262626262,8.974255832662912,-8.002560819462225,9.231359832247769,5.405833037411984,-3.8255267948357847,150.2550516362457
ACLTF,10,-0.42917887134170146,7.789772035296331,-6.2509267525079055,3.739128697347622,2.486105777780987,-1.253022919566635,11.660159279387992
ACLX,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ACM,10,0.17384731670445966,4.576074332171894,-2.5877702386046413,5.817090506662538,4.478540524753619,-1.338549981908919,58.132921217725496
ACMB,10,0.26614060677494383,9.95970424579654,-10.153902470078942,3.9039772338932224,3.492742409795215,-0.4112348240980075,0.0
ACMDY,10,0.43624334883114596,12.831636417293788,-8.985507246376812,0.5563730801296484,6.0609521121098,5.5045790319801515,0.0
