Security,Acquisition_Event_Count,Acquisition_Quality_Jump_Sum,Acquisition_Quality_Jump_Avg,Acquisition_Quality_Jump_Max,Acquisition_Final_Return_Mean,Acquisition_Final_Return_Median,Loss_Event_Count,Loss_Quality_Loss_Sum,Loss_Quality_Loss_Avg,Loss_Quality_Loss_Max,Loss_Final_Return_Mean,Loss_Final_Return_Median,Total_Event_Count,Net_Quality_Delta,Event_Balance_Ratio,Weighted_Avg_Final_Return,Quality_Momentum_Score,Unique_Clusters,Unique_Blocks,Events_Per_Block,Net_Quality_Delta_Percentile,Quality_Momentum_Score_Percentile,Weighted_Avg_Final_Return_Percentile,Acquisition_Quality_Jump_Avg_Percentile,Loss_Quality_Loss_Avg_Percentile,Event_Balance_Ratio_Percentile,Events_Per_Block_Percentile,Composite_Quality_Event_Rank
ATLO,1.0,7.754342431761787,7.754342431761787,7.754342431761787,-15.364526252751537,-15.364526252751537,1.0,5.77324973876698,5.77324973876698,5.77324973876698,-15.364526252751537,-15.364526252751537,2.0,1.9810926929948067,0.5,-15.364526252751537,0.0,2,2,1.0,0.596229379418696,0.48978790259230165,0.21838177533385703,0.48939512961508247,0.1838177533385703,0.49410840534171246,0.5003927729772192,0.4643558523173606
AQMS,3.0,22.544257123500877,7.514752374500293,8.962068761465176,0.0,0.0,3.0,23.25243515590551,7.75081171863517,8.974255832662912,0.0,0.0,6.0,-0.7081780324046321,0.5,0.0,-0.0,6,6,1.0,0.44461901021209743,0.48978790259230165,0.40769835035349566,0.45011783189316573,0.5231736056559309,0.49410840534171246,0.5003927729772192,0.46431657501963863
BCDMF,3.0,32.61028150585586,10.870093835285287,14.728971962616823,-90.76923063697194,-90.76923063697194,3.0,26.790400452329944,8.930133484109982,11.140460595646198,-90.76923063697194,-90.76923063697194,6.0,5.819881053525915,0.5,-90.76923063697194,0.0,6,6,1.0,0.746268656716418,0.48978790259230165,0.02749410840534171,0.8554595443833464,0.6842105263157895,0.49410840534171246,0.5003927729772192,0.463688138256088
ALB,1.0,7.640317888313346,7.640317888313346,7.640317888313346,230.1356480007329,230.1356480007329,2.0,13.83259746088966,6.91629873044483,8.378289111527028,230.1356480007329,230.1356480007329,3.0,-6.1922795725763145,0.3333333333333333,230.1356480007329,-0.0,3,3,1.0,0.23959151610369206,0.48978790259230165,0.9049489395129615,0.4685781618224666,0.38413197172034563,0.16732128829536527,0.5003927729772192,0.4634917517674784
BFCH,1.0,21.803713527851457,21.803713527851457,21.803713527851457,379.9547413757999,379.9547413757999,2.0,28.44680664894034,14.22340332447017,22.61056971514243,379.9547413757999,379.9547413757999,3.0,-6.6430931210888815,0.3333333333333333,379.95474137579987,-0.0,3,3,1.0,0.21681068342498036,0.48978790259230165,0.9316575019638649,0.9968578161822467,0.9638648860958366,0.16732128829536527,0.5003927729772192,0.46313825608798115
BBD,2.0,10.777131338069989,5.388565669034994,5.770113284732785,-55.32729823667213,-55.32729823667213,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.777131338069989,1.0,-55.32729823667213,-596.2695596771836,2,2,1.0,0.906127258444619,0.01178318931657502,0.0840534171249018,0.10408483896307934,0.05734485467399843,0.94344069128044,0.5003927729772192,0.46286331500392774
BFLBY,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.157770829250973,6.5788854146254865,6.585081585081584,27.096774358944565,27.096774358944565,2.0,-13.157770829250973,0.0,27.096774358944565,356.5331472269165,2,2,1.0,0.051846032992930086,0.9575805184603299,0.6457187745483111,0.037706205813040065,0.31814611154752553,0.037706205813040065,0.5003927729772192,0.46221523959151606
ARSMF,1.0,5.153733964342054,5.153733964342054,5.153733964342054,0.0,0.0,1.0,6.212809733258812,6.212809733258812,6.212809733258812,0.0,0.0,2.0,-1.0590757689167578,0.5,0.0,-0.0,2,2,1.0,0.43597800471327575,0.48978790259230165,0.40769835035349566,0.08562450903377848,0.25765907305577374,0.49410840534171246,0.5003927729772192,0.46215632364493325
BGI,1.0,6.735027730120098,6.735027730120098,6.735027730120098,204.24627849199263,204.24627849199263,2.0,12.909954450541873,6.4549772252709365,7.822390717445,204.24627849199263,204.24627849199263,3.0,-6.174926720421775,0.3333333333333333,204.24627849199263,-0.0,3,3,1.0,0.24116260801256872,0.48978790259230165,0.8955223880597015,0.3079340141398272,0.2969363707776905,0.16732128829536527,0.5003927729772192,0.46199921445404557
ACGL,1.0,6.199843413583871,6.199843413583871,6.199843413583871,-5.568791533132823,-5.568791533132823,1.0,5.312639713866002,5.312639713866002,5.312639713866002,-5.568791533132823,-5.568791533132823,2.0,0.8872036997178689,0.5,-5.568791533132823,0.0,2,2,1.0,0.5443833464257659,0.48978790259230165,0.27101335428122547,0.22073841319717202,0.1311861743912019,0.49410840534171246,0.5003927729772192,0.46192065985860176
ALEX,1.0,5.029813675346816,5.029813675346816,5.029813675346816,-3.9471542611181656,-3.9471542611181656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.029813675346816,1.0,-3.9471542611181656,-19.853450481275605,1,1,1.0,0.7101335428122545,0.04399057344854674,0.2812254516889238,0.0769835035349568,0.05734485467399843,0.94344069128044,0.5003927729772192,0.46135113904163394
