security,block,model_proba,position_size,final_value,pnl,return_pct,binding_constraint,capital_cap,volume_cap,security_limit,days_held
AAPJ,8,0.6410305297948746,6725.905923687428,115.95917075478519,-6609.946752932643,-98.27593231201172,volume,50020785.30840186,6725.905923687428,50020785.30840186,500
BLFE,9,0.6404501379384754,32254.59740151233,157.84012847369377,-32096.757273038635,-99.5106430053711,volume,50020679.422291644,32254.59740151233,50020679.422291644,500
COUV,10,0.6396418117494632,680.9009225317128,82.03621817349472,-598.8647043582181,-87.95181274414062,volume,50020133.943361916,680.9009225317128,50020133.943361916,500
DOCKF,9,0.6389199526908836,120.23038782469587,801.5358699094357,681.3054820847399,566.6666259765625,volume,50020024.78768951,120.23038782469587,50020024.78768951,500
FSSN,9,0.6388736302982744,692.3991121527705,76.93320533594124,-615.4659068168293,-88.8888931274414,volume,50019915.70014763,692.3991121527705,50019915.70014763,500
CRSM,9,0.6366423519315034,409.27152890906933,196.9111046982181,-212.36042421085122,-51.88741683959961,volume,50018715.0601746,409.27152890906933,50018715.0601746,500
EVIO,8,0.6361065075369086,748580.7809261014,130187.95941705327,-618392.8215090481,-82.60869598388672,volume,50018387.54920109,748580.7809261014,50018387.54920109,500
REFG,8,0.6354367192974926,468.09548406809864,136.16460220538727,-331.9308818627114,-70.91093444824219,volume,50018216.53959444,468.09548406809864,50018216.53959444,500
GZIC,11,0.6353094267510269,24548.672273612934,24548.672273612934,0.0,0.0,volume,50018045.4967947,24548.672273612934,50018045.4967947,500
SULZF,8,0.6337731818686063,216.62796459282697,205.15814794141772,-11.469816651409246,-5.294707298278809,volume,50016506.111597046,216.62796459282697,50016506.111597046,500
PSSR,9,0.6334495066319459,102.76073415739036,11.964280996883687,-90.79645316050667,-88.35714721679688,volume,50016335.06765032,102.76073415739036,50016335.06765032,500
APRU,11,0.632331270890048,956.5152523278607,814.4585854238613,-142.05666690399937,-14.851479530334473,volume,50015992.96159759,956.5152523278607,50015992.96159759,500
FITSD,8,0.632216896644513,1776.9792165143044,168.63895015122557,-1608.3402663630789,-90.50979614257812,volume,50015821.89436555,1776.9792165143044,50015821.89436555,500
FITSF,8,0.632216896644513,1800.9939198042289,170.91799444919434,-1630.0759253550345,-90.50979614257812,volume,50015650.66629949,1800.9939198042289,50015650.66629949,500
EAPH,8,0.6319627225698453,648.3918088833631,108.06533445947332,-540.3264744238897,-83.33332824707031,volume,50015307.88415219,648.3918088833631,50015307.88415219,500
PRTHU,9,0.6317536499351446,305.50093853911125,815.7447966485519,510.2438581094406,167.0187530517578,volume,50015136.43904588,305.50093853911125,50015136.43904588,500
HSCHF,9,0.630967735378412,190.44875735674754,190.44875735674754,0.0,0.0,volume,50014279.46863632,190.44875735674754,50014279.46863632,500
RSCZF,8,0.6302954723263892,953.3329886008628,29.61542253872176,-923.717566062141,-96.89348602294922,volume,50013422.49822674,953.3329886008628,50013422.49822674,500
LOTE,9,0.6301948272288516,707.8957242374595,6.806648111392747,-701.0890761260667,-99.03846740722656,volume,50013251.01177307,707.8957242374595,50013251.01177307,500
COUV,8,0.6296274785943008,680.9009225317128,8.579573963983535,-672.3213485677293,-98.7399673461914,volume,50013079.45521049,680.9009225317128,50013079.45521049,500
ACRL,9,0.6288763478747134,6900.072318001671,1746.417611034748,-5153.654706966923,-74.68986511230469,volume,50012736.20762107,6900.072318001671,50012736.20762107,500
BSPM,8,0.6287836810276058,7701.876368029627,7701.876368029627,0.0,0.0,volume,50012564.06846088,7701.876368029627,50012564.06846088,500
DOCKF,8,0.6260077927310488,120.23038782469587,13.343314692715253,-106.88707313198061,-88.9018783569336,volume,50010498.39853868,120.23038782469587,50010498.39853868,500
PSSR,8,0.625679669111095,102.76073415739036,2.0632820656130093,-100.69745209177735,-97.99214935302734,volume,50009981.948992,102.76073415739036,50009981.948992,500
GGII,10,0.625609661246798,1702.8653557501061,563.8626420732437,-1139.0027136768624,-66.88742065429688,volume,50009809.78907336,1702.8653557501061,50009809.78907336,500
GTVH,9,0.6249343582438988,7748.428435110261,1800.0736879553651,-5948.354747154895,-76.7685317993164,volume,50008776.14615992,7748.428435110261,50008776.14615992,500
ROYL,8,0.6246838788704735,553.7840121852109,276.89200609260547,-276.89200609260547,-50.0,volume,50008603.27750553,553.7840121852109,50008603.27750553,500
SCLF,8,0.6244433356494645,112.91321233451885,22.570978306022653,-90.3422340284962,-80.01033020019531,volume,50008430.38116195,112.91321233451885,50008430.38116195,500
SVSN,8,0.6242490477775237,129.5636960537708,52.1000618831921,-77.4636341705787,-59.78807067871094,volume,50008084.57040634,129.5636960537708,50008084.57040634,500
CLAZF,9,0.6241086834533595,449.68678795076005,1.6921921876598276,-447.9945957631002,-99.62369537353516,volume,50007911.65728217,449.68678795076005,50007911.65728217,500
ARYC,10,0.6236496295292272,2331.4389282802636,2331.4389282802636,0.0,0.0,volume,50007565.74143491,2331.4389282802636,50007565.74143491,500
MMEX,11,0.6227150377946085,50007219.82558765,48006933.1786412,-2000286.6469464526,-3.999995708465576,capital,50007219.82558765,955879363.9384041,50007219.82558765,500
CNNC,8,0.622476128869218,12054.204875887262,3719.1643781083403,-8335.040497778922,-69.14633178710938,volume,50005727.87923436,12054.204875887262,50005727.87923436,500
RECAF,8,0.6216552883488027,13324.31519263512,1803.830810683372,-11520.484381951748,-86.46211242675781,volume,50004606.41895723,13324.31519263512,50004606.41895723,500
DVLP,8,0.6216310732216743,1297.496709045451,112.8111974409926,-1184.6855116044585,-91.30547332763672,volume,50004231.44681642,1297.496709045451,50004231.44681642,500
GSPTD,9,0.6215714277500433,187.32102997476244,3.673634191592612,-183.64739578316983,-98.03885650634766,volume,50003856.356207065,187.32102997476244,50003856.356207065,500
FCUL,9,0.6215714277500433,190.54261548075522,3.7368141061358244,-186.8058013746194,-98.03885650634766,volume,50003481.24723296,190.54261548075522,50003481.24723296,500
CELZ,8,0.6210564057093343,50001605.60895954,10430991.384213924,-39570614.22474562,-79.13868713378906,capital,50001605.60895954,126540935.06782758,50001605.60895954,500
CTPR,8,0.6205158980573308,759.7354807170956,759.7354807170956,0.0,0.0,volume,49988609.041728064,759.7354807170956,49988609.041728064,500
ADHC,9,0.6193319804131188,835.1188589740968,633.0450966770924,-202.07376229700446,-24.197006225585938,volume,49958283.718187965,835.1188589740968,49958283.718187965,500
AWH,9,0.6183698621432797,32851.356946711916,4793.405273934608,-28057.951672777308,-85.40880584716797,volume,49945287.09033436,32851.356946711916,49945287.09033436,500
ADFJF,8,0.6179636900560509,174.1481657946267,570.2682792661899,396.1201134715632,227.4615478515625,volume,49932282.045095265,174.1481657946267,49932282.045095265,500
DNAX,8,0.6173852445300344,3320974.5989242014,50858.5044321334,-3270116.094492068,-98.46856689453124,volume,49927947.069627576,3320974.5989242014,49927947.069627576,500
SGLDF,8,0.6168615643549367,321.9257056716308,61.889597978619975,-260.0361076930108,-80.77519226074219,volume,49913961.10839616,321.9257056716308,49913961.10839616,500
EMMS,8,0.6166511717341983,2975.528782107487,6398.9407980436645,3423.4120159361773,115.0522232055664,volume,49909299.095315404,2975.528782107487,49909299.095315404,500
PRSNF,9,0.6165153111207248,122.97973752663532,623.7066684743596,500.7269309477243,407.1621398925781,volume,49904637.42457586,122.97973752663532,49904637.42457586,500
ZLDSF,9,0.6159569237183335,170.5621846532113,244.17847592275257,73.61629126954128,43.16096878051758,volume,49895314.18324214,170.5621846532113,49895314.18324214,500
ADMG,9,0.6157339858208046,110.25691699426714,237.47645925055474,127.2195422562876,115.38463592529295,volume,49890652.56993692,110.25691699426714,49890652.56993692,500
ZAAG,10,0.6142045711573322,124579.91966989376,146564.6109570209,21984.691287127134,17.647058486938477,volume,49844036.5641042,124579.91966989376,49844036.5641042,500
BCDS,10,0.6136865341731653,7629.927790838994,12074.359564768121,4444.431773929127,58.24998474121094,volume,49825398.95564763,7629.927790838994,49825398.95564763,500
WDRP,8,0.6135768764666307,551.9819926895392,166.7526178900967,-385.2293747994425,-69.79020690917969,volume,49811422.08263473,551.9819926895392,49811422.08263473,500
