Security,Mean_Return,Std_Return,Min_Return,Max_Return,Num_Periods,Block_ID,Cluster_ID,Start_Price_Avg,End_Price_Avg,Unique_Clusters,Stability_Score
BENFW,0.0,0.0,0.0,0.0,10,0,61,0.0087999999523162,0.0087999999523162,10,0.1
LASE,0.0,0.0,0.0,0.0,10,0,61,2.5799999237060547,2.5799999237060547,10,0.1
FXFHF,0.0,0.0,0.0,0.0,10,0,61,12.527999877929688,12.527999877929688,10,0.1
FXWZF,0.0,0.0,0.0,0.0,10,0,61,30.04439926147461,30.04439926147461,10,0.1
GBFH,0.0,0.0,0.0,0.0,10,0,61,16.899999618530273,16.899999618530273,10,0.1
GBCMF,0.0,0.0,0.0,0.0,10,0,15,0.0099999997764825,0.0099999997764825,9,0.1111111111111111
LCHTF,0.0,0.0,0.0,0.0,10,0,61,33.900001525878906,33.900001525878906,10,0.1
LCFY,0.0,0.0,0.0,0.0,10,0,61,66.80000305175781,66.80000305175781,10,0.1
LCFYW,0.0,0.0,0.0,0.0,10,0,61,6.360000133514404,6.360000133514404,10,0.1
PLGDF,0.0,0.0,0.0,0.0,10,0,61,2.299999952316284,2.299999952316284,10,0.1
PLGGF,0.0,0.0,0.0,0.0,10,0,61,0.0825000032782553,0.0825000032782553,10,0.1
PLBLF,0.0,0.0,0.0,0.0,10,0,61,0.0549999997019767,0.0549999997019767,10,0.1
PITA,0.0,0.0,0.0,0.0,10,0,61,9.619999885559082,9.619999885559082,10,0.1
PIUTQ,0.0,0.0,0.0,0.0,10,0,48,9.999999747378752e-05,9.999999747378752e-05,8,0.125
PKLE,0.0,0.0,0.0,0.0,10,0,61,0.0148999998345971,0.0148999998345971,10,0.1
GAFL,0.0,0.0,0.0,0.0,10,0,3,9.999999747378752e-05,9.999999747378752e-05,9,0.1111111111111111
WLDBF,0.0,0.0,0.0,0.0,10,0,61,1.100000023841858,1.100000023841858,10,0.1
LATG,0.0,0.0,0.0,0.0,10,0,61,9.949999809265137,9.949999809265137,10,0.1
LAES,0.0,0.0,0.0,0.0,10,0,61,10.859000205993652,10.859000205993652,10,0.1
LB,0.0,0.0,0.0,0.0,10,0,61,23.14999961853028,23.14999961853028,10,0.1
LBNKF,0.0,0.0,0.0,0.0,10,0,61,1.0,1.0,10,0.1
LBNW,0.0,0.0,0.0,0.0,10,0,61,6.5,6.5,10,0.1
ANRO,0.0,0.0,0.0,0.0,10,0,61,20.700000762939453,20.700000762939453,10,0.1
ANSC,0.0,0.0,0.0,0.0,10,0,61,10.06999969482422,10.06999969482422,10,0.1
GBCMY,0.0,0.0,0.0,0.0,10,0,61,0.800000011920929,0.800000011920929,10,0.1
GBDX,0.0,0.0,0.0,0.0,10,0,61,9.999999747378752e-05,9.999999747378752e-05,10,0.1
GANDD,0.0,0.0,0.0,0.0,10,0,61,1.399999976158142,1.399999976158142,10,0.1
GANDF,0.0,0.0,0.0,0.0,10,0,61,1.399999976158142,1.399999976158142,10,0.1
GALNF,0.0,0.0,0.0,0.0,10,0,61,77.80000305175781,77.80000305175781,10,0.1
GAQ,0.0,0.0,0.0,0.0,10,0,61,9.760000228881836,9.760000228881836,10,0.1
GAQUF,0.0,0.0,0.0,0.0,10,0,61,9.880000114440918,9.880000114440918,10,0.1
XOEEF,0.0,0.0,0.0,0.0,10,0,61,1.1749999523162842,1.1749999523162842,10,0.1
GBMCF,0.0,0.0,0.0,0.0,10,0,61,0.0588999986648559,0.0588999986648559,10,0.1
GBXXY,0.0,0.0,0.0,0.0,10,0,61,2.680000066757202,2.680000066757202,10,0.1
GAUZ,0.0,0.0,0.0,0.0,10,0,61,16.450000762939453,16.450000762939453,10,0.1
GBSMF,0.0,0.0,0.0,0.0,10,0,61,2.0897200107574463,2.0897200107574463,10,0.1
GBTG,0.0,0.0,0.0,0.0,10,0,61,7.25,7.25,10,0.1
GBAT,0.0,0.0,0.0,0.0,10,0,61,9.199999809265137,9.199999809265137,10,0.1
ANSCU,0.0,0.0,0.0,0.0,10,0,61,10.050000190734863,10.050000190734863,10,0.1
ANSCW,0.0,0.0,0.0,0.0,10,0,61,0.270000010728836,0.270000010728836,10,0.1
XIACY,0.0,0.0,0.0,0.0,10,0,61,11.130000114440918,11.130000114440918,10,0.1
XIAXF,0.0,0.0,0.0,0.0,10,0,61,2.2799999713897705,2.2799999713897705,10,0.1
XIORF,0.0,0.0,0.0,0.0,10,0,61,44.476200103759766,44.476200103759766,10,0.1
APLD,0.0,0.0,0.0,0.0,10,0,61,4.849999904632568,4.849999904632568,10,0.1
XISHY,0.0,0.0,0.0,0.0,10,0,61,8.609999656677246,8.609999656677246,10,0.1
XLO,0.0,0.0,0.0,0.0,10,0,61,16.0,16.0,10,0.1
GAQWF,0.0,0.0,0.0,0.0,10,0,61,0.0099999997764825,0.0099999997764825,10,0.1
SVREW,0.0,0.0,0.0,0.0,10,0,61,0.0104000000283122,0.0104000000283122,10,0.1
SVMH,0.0,0.0,0.0,0.0,10,0,61,2.182852029800415,2.182852029800415,10,0.1
SVTE,0.0,0.0,0.0,0.0,10,0,23,9.999999747378752e-05,9.999999747378752e-05,10,0.1
SVTNF,0.0,0.0,0.0,0.0,10,0,61,0.4122999906539917,0.4122999906539917,10,0.1
GGAAF,0.0,0.0,0.0,0.0,10,0,61,9.949999809265137,9.949999809265137,10,0.1
GENFF,0.0,0.0,0.0,0.0,10,0,61,0.0599999986588954,0.0599999986588954,10,0.1
GENK,0.0,0.0,0.0,0.0,10,0,61,15.34000015258789,15.34000015258789,10,0.1
GENRF,0.0,0.0,0.0,0.0,10,0,61,0.2151000052690506,0.2151000052690506,10,0.1
GELNF,0.0,0.0,0.0,0.0,10,0,61,2.799999952316284,2.799999952316284,10,0.1
GETBF,0.0,0.0,0.0,0.0,10,0,61,0.8500000238418579,0.8500000238418579,10,0.1
GETR,0.0,0.0,0.0,0.0,10,0,61,3.0199999809265137,3.0199999809265137,10,0.1
GENSY,0.0,0.0,0.0,0.0,10,0,61,23.049999237060547,23.049999237060547,10,0.1
GEOUF,0.0,0.0,0.0,0.0,10,0,61,0.1340000033378601,0.1340000033378601,10,0.1
KWGHF,0.0,0.0,0.0,0.0,10,0,61,0.3623999953269958,0.3623999953269958,10,0.1
GFAIW,0.0,0.0,0.0,0.0,10,0,61,0.1297000050544738,0.1297000050544738,10,0.1
GHIX,0.0,0.0,0.0,0.0,10,0,61,9.638999938964844,9.638999938964844,10,0.1
GHIXW,0.0,0.0,0.0,0.0,10,0,61,0.0741999968886375,0.0741999968886375,10,0.1
GETRW,0.0,0.0,0.0,0.0,10,0,61,0.006000000052154,0.006000000052154,10,0.1
GEV,0.0,0.0,0.0,0.0,10,0,61,142.02000427246094,142.02000427246094,10,0.1
GFR,0.0,0.0,0.0,0.0,10,0,61,9.760000228881836,9.760000228881836,10,0.1
BDCTF,0.0,0.0,0.0,0.0,10,0,61,0.4499999880790709,0.4499999880790709,10,0.1
BCTCF,0.0,0.0,0.0,0.0,10,0,61,0.2903000116348266,0.2903000116348266,10,0.1
BCTXW,0.0,0.0,0.0,0.0,10,0,61,0.332500010728836,0.332500010728836,10,0.1
BCCOY,0.0,0.0,0.0,0.0,10,0,61,14.800000190734863,14.800000190734863,10,0.1
BDABF,0.0,0.0,0.0,0.0,10,0,61,7.840000152587891,7.840000152587891,10,0.1
BCEIF,0.0,0.0,0.0,0.0,10,0,61,11.821599960327148,11.821599960327148,10,0.1
BCG,0.0,0.0,0.0,0.0,10,0,61,9.5,9.5,10,0.1
