security,block,model_proba,position_size,final_value,pnl,return_pct,binding_constraint,capital_cap,volume_cap,security_limit,days_held
SVSN,8,0.6242490477775237,116.6073264483937,46.890055694872885,-69.71727075352082,-59.78807067871094,volume,50007277.468035154,129.5636960537708,50007277.468035154,500
CLAZF,9,0.6241086834533595,404.7181091556841,1.5229729688938392,-403.19513618679025,-99.62369537353516,volume,50007121.759061776,449.68678795076005,50007121.759061776,500
ARYC,10,0.6236496295292272,2098.2950354522372,2098.2950354522372,0.0,0.0,volume,50006810.144632556,2331.4389282802636,50006810.144632556,500
MMEX,11,0.6227150377946085,45005848.18462761,43205616.18868397,-1800231.9959436357,-3.999995708465576,capital,50006497.98291956,955879363.9384041,50006497.98291956,500
CNNC,8,0.622476128869218,10848.784388298536,3347.247940297507,-7501.536448001029,-69.14633178710938,volume,50005555.1890994,12054.204875887262,50005555.1890994,500
RECAF,8,0.6216552883488027,11991.883673371607,1623.4477296150344,-10368.435943756573,-86.46211242675781,volume,50004427.331647195,13324.31519263512,50004427.331647195,500
DVLP,8,0.6216310732216743,1167.7470381409062,101.53007769689339,-1066.2169604440128,-91.30547332763672,volume,50003970.93219226,1297.496709045451,50003970.93219226,500
GSPTD,9,0.6215714277500433,168.58892697728618,3.3062707724333507,-165.28265620485283,-98.03885650634766,volume,50003474.11862451,187.32102997476244,50003474.11862451,500
FCUL,9,0.6215714277500433,171.48835393267967,3.363132695522239,-168.12522123715743,-98.03885650634766,volume,50003316.92623752,190.54261548075522,50003316.92623752,500
CELZ,8,0.6210564057093343,45001301.62045967,9387862.324911341,-35613439.29554833,-79.13868713378906,capital,50001446.24495518,126540935.06782758,50001446.24495518,500
CTPR,8,0.6205158980573308,683.761932645386,683.761932645386,0.0,0.0,volume,49996871.02780762,759.7354807170956,49996871.02780762,500
ADHC,9,0.6193319804131188,751.6069730766872,569.7405870093831,-181.866386067304,-24.197006225585938,volume,49966016.86877095,835.1188589740968,49966016.86877095,500
AWH,9,0.6183698621432797,29566.22125204073,4314.064746541149,-25252.15650549958,-85.40880584716797,volume,49950758.63799434,32851.356946711916,49950758.63799434,500
ADFJF,8,0.6179636900560509,156.73334921516403,513.2414513395709,356.50810212440683,227.4615478515625,volume,49939059.189558364,174.1481657946267,49939059.189558364,500
DNAX,8,0.6173852445300344,2988877.1390317813,45772.65398892015,-2943104.485042861,-98.46856689453124,volume,49935158.246973224,3320974.5989242014,49935158.246973224,500
SGLDF,8,0.6168615643549367,289.73313510446775,55.700638180758006,-234.03249692370974,-80.77519226074219,volume,49923157.80349467,321.9257056716308,49923157.80349467,500
EMMS,8,0.6166511717341983,2677.975903896738,5759.046718239298,3081.0708143425595,115.0522232055664,volume,49919025.72713234,2975.528782107487,49919025.72713234,500
PRSNF,9,0.6165153111207248,110.68176377397181,561.3360016269238,450.654237852952,407.1621398925781,volume,49914827.74243152,122.97973752663532,49914827.74243152,500
ZLDSF,9,0.6159569237183335,153.5059661878902,219.76062833047737,66.25466214258716,43.16096878051758,volume,49906240.288935326,170.5621846532113,49906240.288935326,500
ADMG,9,0.6157339858208046,99.23122529484043,213.72881332549926,114.49758803065883,115.38463592529295,volume,49901848.58124724,110.25691699426714,49901848.58124724,500
ZAAG,10,0.6142045711573322,112121.92770290436,131908.14986131876,19786.2221584144,17.647058486938477,volume,49859633.423448786,124579.91966989376,49859633.423448786,500
BCDS,10,0.6136865341731653,6866.935011755094,10866.923608291308,3999.9885965362146,58.24998474121094,volume,49842855.24614659,7629.927790838994,49842855.24614659,500
WDRP,8,0.6135768764666307,496.78379342058537,150.07735610108705,-346.7064373194983,-69.79020690917969,volume,49830276.62136665,551.9819926895392,49830276.62136665,500
KAYS,8,0.6134245042901074,721.1715493637805,248.23999896324534,-472.9315504005352,-65.57823181152344,volume,49826084.79975262,801.3017215153118,49826084.79975262,500
TRBO,9,0.6130126292934918,44832156.81862733,44832156.81862733,0.0,0.0,capital,49813507.57625258,22259765732.011265,49813507.57625258,500
NCPCF,8,0.6129317850710221,656.1280118443685,113.12551583119489,-543.0024960131736,-82.75862121582031,volume,49809314.72350971,729.0311242715205,49809314.72350971,500
CAPC,8,0.6125773983684211,861.9887800142257,12.488814796620318,-849.4999652176053,-98.55116271972656,volume,49800928.36147186,957.7653111269176,49800928.36147186,500
MEDVF,8,0.6123863344001987,196.89747594087186,50.538966688546026,-146.35850925232583,-74.33234405517578,volume,49796735.54781373,218.77497326763535,49796735.54781373,500
BAYP,9,0.6116035927746714,1814.6953334666246,98.9833566526761,-1715.7119768139485,-94.5454559326172,volume,49784155.7818464,2016.3281482962493,49784155.7818464,500
GPGC,8,0.610127422167535,1030.0384639871618,92.62361868943128,-937.4148452977305,-91.00775146484376,volume,49758995.1037417,1144.4871822079574,49758995.1037417,500
DBMM,8,0.6100058020647523,1656.9521504138722,1000.8647969420633,-656.0873534718089,-39.59603500366211,volume,49754801.49138231,1841.057944904302,49754801.49138231,500
EAPH,9,0.609989120273331,583.5526279950266,583.5526279950266,0.0,0.0,volume,49750607.86845297,648.3918088833631,49750607.86845297,500
HUDRF,10,0.6097069644485761,102.7498193367309,55.02429912763649,-47.725520209094405,-46.44827651977539,volume,49746414.1866214,114.16646592970102,49746414.1866214,500
NXSGF,10,0.6093300677432997,520.8714647017372,123.64013129839259,-397.2313334033446,-76.26283264160156,volume,49725445.995577686,578.746071890819,49725445.995577686,500
GRNBF,10,0.6091774092550685,172.27921660385803,16.84798521056041,-155.43123139329762,-90.22053527832033,volume,49717058.64410207,191.42135178206453,49717058.64410207,500
BWMG,8,0.6091476294002264,123.52197741560126,34.97109494616626,-88.550882469435,-71.68836212158203,volume,49708671.24406752,137.2466415728903,49708671.24406752,500
VIVK,9,0.6090654804166644,26107.784100623816,39815.84075045039,13708.056649826576,52.50563049316406,volume,49704477.57999954,29008.64900069313,49704477.57999954,500
FSTTF,8,0.6087809354977017,237.32610307726424,72.36007192281508,-164.96603115444915,-69.5102767944336,volume,49691897.85401592,263.6956700858492,49691897.85401592,500
INOTF,8,0.6079742875142401,91.41030378309475,0.034416950162480475,-91.37588683293227,-99.96234893798828,volume,49666746.57553755,101.5670042034386,49666746.57553755,500
NWGC,10,0.6077207577962628,288.361351255421,288.36137223647336,2.0981052330171224e-05,7.275958523678128e-06,volume,49662552.85821897,320.4015013949122,49662552.85821897,500
