Security,Block,Winner,Future_Return,Event_Type,Avg_Price,Median_Price,Avg_Volume,Median_Volume,Price_Volatility
SBUX,2,False,-4.7823887,DROP,55.662403,56.205,8242446.5,7562350.0,0.083582625
SBUX,3,False,-8.207707,DROP,57.814953,57.96,9201635.0,8264100.0,0.05077123
SBUX,28,False,-12.853471,DROP,89.56936,88.325,7505924.0,6927750.0,0.12787548
SBUX,31,False,-19.663733,DROP,111.5436,112.21,5793139.0,5263150.0,0.051863085
SBUX,32,False,-8.56693,DROP,113.7658,113.41,6137487.5,5663550.0,0.032335836
SBUX,27,True,5.546326,ACQ,81.2315,78.185,9943420.5,8313950.0,0.1293078
SBUX,29,False,-31.934816,ACQ,98.50011,101.915,6644555.0,5917000.0,0.1173013
SBUX,30,False,-32.211147,ACQ,106.43051,106.515,6131497.0,5493500.0,0.08160989
SBWFF,7,True,18.181814,DROP,0.099499986,0.11,1137.5,0.0,0.51707405
SBWFF,13,False,-42.857143,DROP,0.1334,0.13,1916.5,0.0,0.14658034
SBWFF,15,False,-69.230774,DROP,0.15325,0.14,1071.0,0.0,0.16587174
SBWFF,16,False,-44.444447,DROP,0.14475,0.14,934.0,0.0,0.23393801
SBWFF,26,True,216.66667,DROP,0.055649996,0.06,5811.0,0.0,0.33873934
SBWFF,27,True,300.0,DROP,0.06165,0.06,5994.0,0.0,0.25389385
SBWFF,30,True,9.090907,DROP,0.13765,0.15,40366.0,15000.0,0.4095356
SBWFF,31,False,0.0,DROP,0.16715,0.17,48422.0,24000.0,0.22436212
SBWFF,33,False,-51.515156,DROP,0.23965,0.21,41834.0,21250.0,0.28786463
SBWFF,34,False,-20.000004,DROP,0.26639998,0.275,51289.0,21250.0,0.27024305
SBWFF,35,False,-29.166666,DROP,0.28869998,0.3,49814.5,18350.0,0.19915633
SBWFF,6,False,0.0,ACQ,0.08114999,0.04,474.5,0.0,0.68662786
SBWFF,11,False,-43.749996,ACQ,0.121549994,0.12,2056.0,0.0,0.17223655
SBWFF,12,False,-46.153843,ACQ,0.1267,0.12,2007.0,0.0,0.17064346
SBWFF,14,False,-66.666664,ACQ,0.14514999,0.14,1105.0,0.0,0.18762599
SBWFF,25,True,266.6667,ACQ,0.046800002,0.05,4235.0,0.0,0.38364777
SBWFF,28,True,106.250015,ACQ,0.082249984,0.07,18768.0,0.0,0.44189858
SBWFF,29,False,-9.090907,ACQ,0.10539999,0.08,30944.5,4050.0,0.4476299
SBWFF,32,False,-35.714283,ACQ,0.19550002,0.19,48619.5,28050.0,0.22503063
