Security,Block_ID,Cluster_ID,Total_Blocks_Appeared,Unique_Clusters,Cluster_Changes,Stability_Score,Percent_Return
REVXF,0,61,10,10,9,0.0,12872.508208440098
REVXF,1,3,10,10,9,0.0,12872.508208440098
REVXF,2,46,10,10,9,0.0,12872.508208440098
REVXF,3,50,10,10,9,0.0,12872.508208440098
REVXF,4,13,10,10,9,0.0,12872.508208440098
REVXF,5,42,10,10,9,0.0,12872.508208440098
REVXF,6,45,10,10,9,0.0,12872.508208440098
REVXF,7,68,10,10,9,0.0,12872.508208440098
REVXF,8,38,10,10,9,0.0,12872.508208440098
REVXF,9,35,10,10,9,0.0,12872.508208440098
RGVNF,0,61,10,10,9,0.0,79900.00582076614
RGVNF,1,3,10,10,9,0.0,79900.00582076614
RGVNF,2,46,10,10,9,0.0,79900.00582076614
RGVNF,3,50,10,10,9,0.0,79900.00582076614
RGVNF,4,13,10,10,9,0.0,79900.00582076614
RGVNF,5,42,10,10,9,0.0,79900.00582076614
RGVNF,6,45,10,10,9,0.0,79900.00582076614
RGVNF,7,68,10,10,9,0.0,79900.00582076614
RGVNF,8,38,10,10,9,0.0,79900.00582076614
RGVNF,9,35,10,10,9,0.0,79900.00582076614
SVNJ,0,61,10,10,9,0.0,1979900.0690924954
SVNJ,1,3,10,10,9,0.0,1979900.0690924954
SVNJ,2,36,10,10,9,0.0,1979900.0690924954
SVNJ,3,45,10,10,9,0.0,1979900.0690924954
SVNJ,4,14,10,10,9,0.0,1979900.0690924954
SVNJ,5,65,10,10,9,0.0,1979900.0690924954
SVNJ,6,24,10,10,9,0.0,1979900.0690924954
SVNJ,7,68,10,10,9,0.0,1979900.0690924954
SVNJ,8,38,10,10,9,0.0,1979900.0690924954
SVNJ,9,35,10,10,9,0.0,1979900.0690924954
TICJ,0,61,10,10,9,0.0,199900.00803265735
TICJ,1,3,10,10,9,0.0,199900.00803265735
TICJ,2,46,10,10,9,0.0,199900.00803265735
TICJ,3,50,10,10,9,0.0,199900.00803265735
TICJ,4,13,10,10,9,0.0,199900.00803265735
TICJ,5,42,10,10,9,0.0,199900.00803265735
TICJ,6,45,10,10,9,0.0,199900.00803265735
TICJ,7,68,10,10,9,0.0,199900.00803265735
TICJ,8,38,10,10,9,0.0,199900.00803265735
