Block_ID,Cluster_ID,Security,Cluster_Size_x,Score,Median_Price_Level,Avg_Correlation,Cluster_Size_y,Post_Clustering_Return,Category,Rank
8,37,FUNR,38,5,0.0025000000605359,0.0,38,2170.6153812402385,1000-5000%,41
6,44,GYST,41,6,0.014462319754064,0.2243684851255113,41,1728.0946184240267,1000-5000%,42
6,43,MEGH,44,5,0.0049999998882411,0.0,44,1708.999967985784,1000-5000%,43
7,67,MEGH,49,5,0.0060000000521539,0.0,49,1708.999967985784,1000-5000%,44
0,60,MBLV,38,5,0.0063999998383223,0.0,38,1685.7143759955693,1000-5000%,45
1,52,MVPT,25,6,0.5749719948768616,0.6802693976117926,25,1530.1444059168437,1000-5000%,46
4,33,BLPG,32,6,0.0064991200286894,0.4060257060086556,32,1529.07524827638,1000-5000%,47
1,32,CDSG,42,5,1.439387990951538,0.0,42,1522.9858043484553,1000-5000%,48
2,8,BRPHF,38,6,1.3391199839115142,0.7093063400822887,38,1501.419524004478,1000-5000%,49
1,32,LRMR,42,5,1.439387990951538,0.0,42,1442.8495076794338,1000-5000%,50
1,32,PCLI,42,5,1.439387990951538,0.0,42,1334.3243226853908,1000-5000%,51
0,7,FMBV,45,5,0.768524600834143,0.0,45,1318.161418307387,1000-5000%,52
7,67,PDPG,49,5,0.0060000000521539,0.0,49,1233.3333259198218,1000-5000%,53
8,37,PDPG,38,5,0.0025000000605359,0.0,38,1233.3333259198218,1000-5000%,54
7,16,AMFL,39,6,0.6767042407989502,0.5262639916100307,39,1214.1414026702128,1000-5000%,55
9,32,BWNAF,45,5,0.0049999998882411,0.0,45,1199.999965075472,1000-5000%,56
3,14,FDFT,39,6,0.1236479993462562,0.4344310006454784,39,1196.8750034105526,1000-5000%,57
2,8,FDFT,38,6,1.3391199839115142,0.7093063400822887,38,1196.8750034105526,1000-5000%,58
8,37,FONU,38,5,0.0025000000605359,0.0,38,1157.1428696161624,1000-5000%,59
4,33,KATX,32,6,0.0064991200286894,0.4060257060086556,32,1149.9999359717067,1000-5000%,60
7,16,NIHK,39,6,0.6767042407989502,0.5262639916100307,39,1123.7775705969564,1000-5000%,61
1,32,ISLV,42,5,1.439387990951538,0.0,42,1121.3739919659797,1000-5000%,62
6,44,ANAS,41,6,0.014462319754064,0.2243684851255113,41,1101.141192589713,1000-5000%,63
9,73,GSPTD,34,5,0.1417356016039848,0.0,34,1085.397180426091,1000-5000%,64
9,73,FCUL,34,5,0.1417356016039848,0.0,34,1085.397180426091,1000-5000%,65
6,44,PSTRQ,41,6,0.014462319754064,0.2243684851255113,41,1022.2221542414312,1000-5000%,66
4,33,GRLF,32,6,0.0064991200286894,0.4060257060086556,32,995.000053478248,500-1000%,67
0,7,SRLTF,45,5,0.768524600834143,0.0,45,900.0000727595263,500-1000%,68
4,33,NAMX,32,6,0.0064991200286894,0.4060257060086556,32,900.0,500-1000%,69
6,43,OPUS,44,5,0.0049999998882411,0.0,44,900.0,500-1000%,70
6,43,AFCL,44,5,0.0049999998882411,0.0,44,900.0,500-1000%,71
7,67,OPUS,49,5,0.0060000000521539,0.0,49,900.0,500-1000%,72
8,37,OPUS,38,5,0.0025000000605359,0.0,38,900.0,500-1000%,73
