Security,Block,Prev_Quality,New_Quality,Quality_Loss,Future_Return,Event_Type,Quality_Jump
TISCY,28,1121.4342,1.5143443,1119.9198,,DROP,
CHGCF,28,2376.9792,2024.7155,352.2638,,DROP,
THYCY,28,127.23837,989.3271,,,ACQ,862.08875
AYAAF,28,-39.947964,5261.1836,,,ACQ,5301.1313
ASAZY,28,135.82365,259.59738,,,ACQ,123.77373
BTLLF,28,2376.9792,2024.7155,352.2638,,DROP,
SECI,28,164.69121,-14.906366,179.59758,,DROP,
SPXC,28,151.8551,94.31757,57.53753,,DROP,
SSGOF,28,5643.2285,1839.9711,3803.2573,,DROP,
SAIA,28,151.8551,146.15318,5.7019196,,DROP,
EAATF,28,545.3434,90.69762,454.64575,,DROP,
CLAR,28,398.645,89.56435,309.08063,,DROP,
ARGHF,28,39.27808,4272.2896,,,ACQ,4233.011
CAR,28,96.74505,182.57422,,,ACQ,85.82917
SOMMY,28,109.5554,446.09967,,,ACQ,336.54428
SNEX,28,101.551926,2998.0525,,,ACQ,2896.5005
HENGY,28,26.853285,910.57544,,,ACQ,883.72217
ROP,28,118.29525,257.14893,,,ACQ,138.85367
RRTS,28,-30.131529,816.98804,,,ACQ,847.11957
TTMI,28,77.67917,112.456955,,,ACQ,34.777786
BABLD,28,313.54816,611.64197,,,ACQ,298.0938
WWRL,28,659.54803,741.57654,,,ACQ,82.0285
ZVTK,28,-53.35271,4272.2896,,,ACQ,4325.642
ZCBD,28,-22.621147,83.87954,,,ACQ,106.50069
CABJF,28,101.551926,42.648758,58.903168,,DROP,
HBIO,28,101.551926,446.09967,,,ACQ,344.54773
WULF,28,66.25925,233.70277,,,ACQ,167.44353
TBLMF,28,313.54816,390.61774,,,ACQ,77.06958
TDC,28,13.264039,735.1686,,,ACQ,721.90454
CABGY,28,101.551926,42.648758,58.903168,,DROP,
RRC,28,96.74505,51.819508,44.92554,,DROP,
PWR,28,398.645,125.450806,273.19418,,DROP,
AWCA,28,-31.672441,2024.7155,,,ACQ,2056.388
MNZO,28,12.802216,735.1686,,,ACQ,722.36633
ISDSF,28,-8.868791,865.0091,,,ACQ,873.87787
PMPG,28,275.5606,1251.8187,,,ACQ,976.2581
SSEZY,28,387.01468,7823.223,,,ACQ,7436.2085
