Security,Block_ID,Cluster_ID,Cluster_Size,Num_Top_Performers_During,Pct_Top_Performers_During,Num_Top_Performers_After,Pct_Top_Performers_After,Stock_Return_During,Stock_Return_After
AAGIY,8,28,259,24,9.266409266409266,7,2.7027027027027026,69.71837469611076,17.903351618244333
AAGIY,9,42,165,4,2.4242424242424243,4,2.4242424242424243,69.71837469611076,17.903351618244333
AAGR,0,61,8301,35,0.4216359474762077,43,0.5180098783279123,,
AAGR,1,3,8267,55,0.6652957542034595,80,0.967702915205032,,
AAGR,2,46,8073,47,0.5821875387092779,67,0.8299269168834386,,
AAGR,3,50,7854,37,0.4710975299210593,78,0.9931245225362872,,
AAGR,4,13,7711,37,0.4798340033718065,78,1.0115419530540786,,
AAGR,5,42,7466,30,0.4018215912135012,60,0.8036431824270024,,
AAGR,6,45,7073,32,0.4524247136999859,77,1.088646967340591,,
AAGR,7,68,6777,34,0.5016969160395455,93,1.3722886232846392,,
AAGR,8,38,6519,26,0.3988341770210155,87,1.3345605154164748,,
AAGR,9,35,6235,22,0.3528468323977546,90,1.4434643143544506,,
AAGRW,0,61,8301,35,0.4216359474762077,43,0.5180098783279123,,
AAGRW,1,3,8267,55,0.6652957542034595,80,0.967702915205032,,
AAGRW,2,46,8073,47,0.5821875387092779,67,0.8299269168834386,,
AAGRW,3,50,7854,37,0.4710975299210593,78,0.9931245225362872,,
AAGRW,4,13,7711,37,0.4798340033718065,78,1.0115419530540786,,
AAGRW,5,42,7466,30,0.4018215912135012,60,0.8036431824270024,,
AAGRW,6,45,7073,32,0.4524247136999859,77,1.088646967340591,,
AAGRW,7,68,6777,34,0.5016969160395455,93,1.3722886232846392,,
AAGRW,8,38,6519,26,0.3988341770210155,87,1.3345605154164748,,
AAGRW,9,35,6235,22,0.3528468323977546,90,1.4434643143544506,,
AAIGF,0,32,286,28,9.79020979020979,6,2.097902097902098,68.50778510913219,18.66638790591053
AAIGF,1,46,829,22,2.6537997587454765,29,3.4981905910735827,68.50778510913219,18.66638790591053
AAIGF,2,19,624,27,4.326923076923077,10,1.6025641025641024,68.50778510913219,18.66638790591053
AAIGF,3,17,461,53,11.496746203904555,11,2.386117136659436,68.50778510913219,18.66638790591053
AAIGF,4,61,118,10,8.47457627118644,4,3.389830508474576,68.50778510913219,18.66638790591053
AAIGF,5,12,321,28,8.722741433021806,11,3.4267912772585665,68.50778510913219,18.66638790591053
AAIGF,6,12,98,11,11.224489795918368,5,5.1020408163265305,68.50778510913219,18.66638790591053
AAIGF,7,4,152,7,4.605263157894736,10,6.578947368421052,68.50778510913219,18.66638790591053
AAIGF,8,28,259,24,9.266409266409266,7,2.7027027027027026,68.50778510913219,18.66638790591053
AAIGF,9,42,165,4,2.4242424242424243,4,2.4242424242424243,68.50778510913219,18.66638790591053
AAIIQ,0,54,95,5,5.263157894736842,13,13.684210526315791,-0.8333319363494414,-67.84565927953473
AAIIQ,1,52,25,3,12.0,2,8.0,-0.8333319363494414,-67.84565927953473
AAIIQ,2,48,82,5,6.097560975609756,16,19.51219512195122,-0.8333319363494414,-67.84565927953473
AAIIQ,3,16,240,21,8.75,22,9.166666666666666,-0.8333319363494414,-67.84565927953473
AAIIQ,4,52,137,14,10.218978102189782,27,19.708029197080293,-0.8333319363494414,-67.84565927953473
AAIIQ,5,51,106,9,8.49056603773585,13,12.264150943396226,-0.8333319363494414,-67.84565927953473
AAIIQ,6,26,260,14,5.384615384615385,28,10.76923076923077,-0.8333319363494414,-67.84565927953473
AAIIQ,7,12,213,9,4.225352112676056,9,4.225352112676056,-0.8333319363494414,-67.84565927953473
AAIIQ,8,56,108,5,4.62962962962963,17,15.74074074074074,-0.8333319363494414,-67.84565927953473
AAIIQ,9,34,112,8,7.142857142857142,17,15.178571428571427,-0.8333319363494414,-67.84565927953473
AAIRF,0,61,8301,35,0.4216359474762077,43,0.5180098783279123,,
AAIRF,1,3,8267,55,0.6652957542034595,80,0.967702915205032,,
AAIRF,2,46,8073,47,0.5821875387092779,67,0.8299269168834386,,
AAIRF,3,50,7854,37,0.4710975299210593,78,0.9931245225362872,,
AAIRF,4,13,7711,37,0.4798340033718065,78,1.0115419530540786,,
AAIRF,5,42,7466,30,0.4018215912135012,60,0.8036431824270024,,
AAIRF,6,45,7073,32,0.4524247136999859,77,1.088646967340591,,
AAIRF,7,68,6777,34,0.5016969160395455,93,1.3722886232846392,,
AAIRF,8,38,6519,26,0.3988341770210155,87,1.3345605154164748,,
AAIRF,9,35,6235,22,0.3528468323977546,90,1.4434643143544506,,
AAL,0,50,105,11,10.476190476190476,10,9.523809523809524,-36.24798138974064,-28.15840028491575
AAL,1,56,126,22,17.46031746031746,16,12.698412698412698,-36.24798138974064,-28.15840028491575
AAL,2,19,624,27,4.326923076923077,10,1.6025641025641024,-36.24798138974064,-28.15840028491575
AAL,3,31,237,14,5.9071729957805905,9,3.79746835443038,-36.24798138974064,-28.15840028491575
AAL,4,36,149,8,5.369127516778524,1,0.6711409395973155,-36.24798138974064,-28.15840028491575
AAL,5,60,173,9,5.202312138728324,7,4.046242774566474,-36.24798138974064,-28.15840028491575
AAL,6,2,136,7,5.147058823529411,6,4.411764705882353,-36.24798138974064,-28.15840028491575
AAL,7,10,492,17,3.4552845528455287,34,6.910569105691057,-36.24798138974064,-28.15840028491575
AAL,8,40,100,2,2.0,6,6.0,-36.24798138974064,-28.15840028491575
AAL,9,14,285,4,1.4035087719298245,10,3.508771929824561,-36.24798138974064,-28.15840028491575
AAM,0,61,8301,35,0.4216359474762077,43,0.5180098783279123,,
