Security,Block_ID,Cluster_ID,Forward_Periods,Start_Price_Avg,End_Price_Avg,Percent_Return,Initial_Prices_Count,End_Prices_Count
FTDL,0,34,500,3.634999990463257,13.25,264.51169284078526,10,10
FUWAY,0,34,500,13.226000022888183,10.749999809265137,-18.72070323104655,10,10
FWONA,0,34,500,38.791748046875,47.13850708007813,21.51684173427067,10,10
FWONK,0,34,500,40.79252738952637,51.35889854431152,25.90271265589223,10,10
GBHPF,0,34,500,0.03191999997943634,0.026549999974667983,-16.823308296453156,10,10
GDMRF,0,34,500,0.1850999996066093,0.19627500474452972,6.037279936072669,10,10
GENC,0,34,500,11.727000045776368,11.097000122070312,-5.372217287003065,10,10
GGZ,0,34,500,11.048000049591064,15.962000179290772,44.47863964194676,10,10
GIL,0,34,500,28.302000045776367,36.884999465942386,30.326476596295876,10,10
GLAXF,0,34,500,21.429999923706056,18.947000122070314,-11.586560011551963,10,10
GOOD,0,34,500,22.96699962615967,21.348000144958498,-7.049242424148051,10,10
GPDNF,0,34,500,82.43900070190429,67.66600112915039,-17.919915873522537,10,10
GSK,0,34,500,43.25,38.33500022888184,-11.364161320504419,10,10
HCMLF,0,34,500,49.79799957275391,48.550000762939455,-2.5061223754403077,10,10
HCMLY,0,34,500,9.831999778747559,9.64099998474121,-1.9426342382472952,10,10
HEINY,0,34,500,52.77800025939941,52.57299957275391,-0.38842071627940417,10,10
HHH,0,34,500,111.48331756591797,84.34699783325195,-24.34114836654447,10,10
HINKF,0,34,500,106.00900039672851,104.94300079345703,-1.0055746203455154,10,10
HKHHF,0,34,500,97.57799987792968,86.97300033569336,-10.868228038598053,10,10
HKHHY,0,34,500,49.047999954223634,43.85239944458008,-10.59288964788084,10,10
HKUOY,0,34,500,29.739999771118164,33.39800109863281,12.299937308900368,10,10
HMC,0,34,500,26.890999794006348,30.694000053405762,14.142279158572057,10,10
HNDAF,0,34,500,8.903333282470703,10.240666675567628,15.020592295808235,10,10
HNRG,0,34,500,3.390999984741211,3.214000034332275,-5.219697764830391,10,10
HRGLF,0,34,500,23.54459991455078,19.49700050354004,-17.191200639214458,10,10
HRL,0,34,500,40.695000076293944,41.293000030517575,1.469467878369619,10,10
HUBS,0,34,500,155.1320007324219,673.5119995117187,334.154137335868,10,10
IAC,0,34,500,49.28693161010742,134.1259994506836,172.13298752640947,10,10
ICMB,0,34,500,6.588381385803222,5.408900022506714,-17.902445141352604,10,10
IEHC,0,34,500,21.286000061035157,12.105000019073486,-43.13163589042661,10,10
IFJPY,0,34,500,19.688999938964844,15.341999912261963,-22.0783180465154,10,10
IMNN,0,34,500,25.755000114440918,13.754999828338622,-46.59289548740422,10,10
ING,0,34,500,11.473000144958496,14.496000003814697,26.348817403132145,10,10
INGVF,0,34,500,11.431999969482423,14.567000102996825,27.423024334178148,10,10
INM,0,34,500,169.37250061035155,41.625,-75.42399158659171,10,10
