security,block,model_proba,avg_price,avg_volume,position_size,binding_constraint,capital_cap,volume_cap,expected_return_pct,pnl,cumulative_equity
GWHP,11,0.6064445711234567,21.790271801306886,94819.80092011711,41322.98468390322,volume,47825050.53749147,41322.98468390322,0.0,0.0,956501010.7498293
EMOR,8,0.6064307609502378,0.5728423253114546,10959.859436178544,125.56542729014411,volume,47825050.53749147,125.56542729014411,-60.51873016357422,-75.9906021204613,956500934.7592272
OMHE,9,0.605466573496204,0.006603305413980159,1211736.125199362,160.0292743168857,volume,47825046.73796136,160.0292743168857,-80.0,-128.02341945350858,956500806.7358077
ABQQ,8,0.6054600093084969,117.6759825882449,11902954.37085792,28013837.025875006,volume,47825040.33679038,28013837.025875006,-94.71491241455078,-26533281.203012507,929967525.5327952
BLKCF,10,0.6046119943235603,0.6525344059352614,94257.37666405638,1230.123625729924,volume,46498376.27663976,1230.123625729924,7.275958523678128e-06,8.950328479807483e-05,929967525.5328847
PAOG,9,0.6041492267883517,0.0032081575922417284,8099915.115640925,519.7160834951395,volume,46498376.27664424,519.7160834951395,-19.791671752929688,-102.86050129254,929967422.6723834
DDDX,9,0.6033424804555757,0.05214248223233155,104301.20242756461,108.77047188780207,volume,46498371.133619174,108.77047188780207,-64.15093231201172,-69.77727179619964,929967352.8951116
FWFW,10,0.6032681645108763,0.06692381460414601,85225.93615354486,114.07289501209242,volume,46498367.64475558,114.07289501209242,-57.007301330566406,-65.02987899604418,929967287.8652325
RGTLF,10,0.6025527993833548,26.36895295561825,1988.8540293968576,1048.879966735151,volume,46498364.39326163,1048.879966735151,-93.8952865600586,-984.8488504370172,929966303.016382
CNBX,9,0.602532583817467,42.008116503670585,63038.7760375881,52962.80496071597,volume,46498315.1508191,52962.80496071597,-99.73503112792967,-52822.47001379475,929913480.5463681
GPFT,8,0.6021225322581368,0.15263702647427752,399795.40018700325,1220.4716216527597,volume,46495674.02731841,1220.4716216527597,-93.74748992919922,-1144.1615105976555,929912336.3848575
SGDH,9,0.6018499038913117,0.03775356720927814,180859.7812622501,136.56203814679404,volume,46495616.81924288,136.56203814679404,-22.62773323059082,-30.900893686114227,929912305.4839638
DTST,8,0.6013928664287538,1.3162584992332753,166520.1687548943,4383.671748347778,volume,46495615.2741982,4383.671748347778,0.2508665919303894,10.997167916495387,929912316.4811317
EDXC,9,0.6008016188314,0.06770839465015087,531055.8610023493,719.1387963604546,volume,46495615.82405659,719.1387963604546,-84.93968200683594,-610.8342068163577,929911705.6469249
IMTL,8,0.6004556552353846,0.013294208452354685,21050208.010188088,5596.917065057335,volume,46495585.28234625,5596.917065057335,-72.6190414428711,-4064.4275229971104,929907641.2194018
ETST,9,0.599390351218875,0.4478546805173462,90939.07128867999,814.549774370719,volume,46495382.0609701,814.549774370719,1107.62451171875,9022.152961079857,929916663.3723629
CALA,10,0.599150174244745,95.07397771964366,40623.82675009777,77245.3759865092,volume,46495833.16861814,77245.3759865092,-96.72413635253906,-74714.92279522262,929841948.4495677
NSAV,8,0.5991091588174431,0.0041962097256417075,30441065.186985496,2554.741875930435,volume,46492097.422478385,2554.741875930435,-92.9428253173828,-2374.4492790560525,929839574.0002886
RGXTF,9,0.5987523679884459,0.15586533514335194,48384.89729517836,150.83056465579276,volume,46491978.700014435,150.83056465579276,-65.47528839111328,-98.75674719032489,929839475.2435415
IFMK,9,0.5986036051495719,3.669306032409216,227586.2697022767,16701.673446241493,volume,46491973.76217708,16701.673446241493,-99.2614517211914,-16578.323524472045,929822896.920017
HUML,10,0.5985808329253747,0.43611336291328273,31734.76724137931,276.79912125816423,volume,46491144.84600085,276.79912125816423,-5.217389583587647,-14.441688519985602,929822882.4783285
BYSI,9,0.5985724969399979,13.008576129298621,302261.96226415096,78639.95494208789,volume,46491144.123916425,78639.95494208789,141.96910095214844,111644.4370204568,929934526.9153489
BDPT,9,0.5983888053403096,0.17870485720670656,5229370.76417677,18690.279113862714,volume,46496726.345767446,18690.279113862714,-69.34306335449219,-12960.412087057242,929921566.5032618
VYBE,8,0.5975907243850462,9.497746435424418,641.2634471927759,121.81115239486323,volume,46496078.325163096,121.81115239486323,-99.09722137451172,-120.71146734758145,929921445.7917945
RJDG,9,0.5971481696443943,0.007454045484583925,991962.2779302235,147.88263877366737,volume,46496072.28958973,147.88263877366737,140.24415588378906,207.39675844680275,929921653.188553
PUGE,11,0.5970409104479878,0.004715570368899231,22240383.38337907,2097.521857512423,volume,46496082.65942765,2097.521857512423,0.0,0.0,929921653.188553
FORW,9,0.596472774664231,0.03324936180736838,1743133.5908379012,1159.1615888069323,volume,46496082.65942765,1159.1615888069323,-63.72643661499024,-738.6923751563636,929920914.4961778
AMIH,8,0.5961385518506868,49.848818526235476,764766.9147438405,762454.5429586942,volume,46496045.724808894,762454.5429586942,-99.95663452148438,-762123.900897676,929158790.59528
