Block_ID,Cluster_ID,Total_Securities,Top_Performers,Enrichment_Pct
4,52,137,8,5.839416058394161
4,36,149,0,0.0
4,23,98,3,3.061224489795918
4,47,103,0,0.0
4,56,143,0,0.0
4,50,342,0,0.0
4,37,186,0,0.0
4,59,408,2,0.49019607843137253
4,39,128,0,0.0
4,20,110,0,0.0
4,60,146,0,0.0
4,3,84,2,2.380952380952381
4,22,88,1,1.1363636363636365
4,29,164,1,0.6097560975609756
4,42,298,5,1.6778523489932886
4,54,206,1,0.48543689320388345
4,45,169,2,1.183431952662722
4,0,57,1,1.7543859649122806
4,26,336,4,1.1904761904761905
4,11,84,4,4.761904761904762
4,65,193,1,0.5181347150259068
4,14,63,6,9.523809523809524
4,32,164,1,0.6097560975609756
4,2,132,1,0.7575757575757576
4,21,81,3,3.7037037037037033
4,58,141,1,0.7092198581560284
4,51,452,1,0.22123893805309736
4,9,84,0,0.0
4,6,209,3,1.4354066985645932
4,24,169,7,4.142011834319527
4,41,300,0,0.0
4,7,75,4,5.333333333333334
4,48,333,1,0.3003003003003003
4,30,63,6,9.523809523809524
4,63,131,2,1.5267175572519083
4,8,81,2,2.4691358024691357
4,27,177,4,2.2598870056497176
4,57,172,1,0.5813953488372093
4,38,198,3,1.5151515151515151
4,62,66,2,3.0303030303030303
4,43,60,1,1.6666666666666667
4,46,44,2,4.545454545454546
4,5,70,2,2.857142857142857
4,18,120,0,0.0
4,1,185,6,3.2432432432432434
4,16,74,1,1.3513513513513513
4,35,106,0,0.0
4,40,82,4,4.878048780487805
4,28,110,0,0.0
4,44,90,1,1.1111111111111112
4,10,81,0,0.0
4,31,105,2,1.9047619047619049
4,12,59,9,15.254237288135593
4,33,32,1,3.125
5,17,478,0,0.0
5,15,304,1,0.3289473684210526
5,42,7466,46,0.6161264398607018
5,38,61,6,9.836065573770492
5,20,248,2,0.8064516129032258
5,66,165,0,0.0
5,58,176,0,0.0
5,44,138,3,2.1739130434782608
5,29,104,3,2.8846153846153846
5,12,321,3,0.9345794392523363
5,51,106,5,4.716981132075472
5,60,173,1,0.5780346820809248
5,6,90,0,0.0
5,47,289,6,2.0761245674740483
5,34,159,3,1.8867924528301887
5,50,308,1,0.3246753246753247
5,56,291,2,0.6872852233676976
5,35,84,3,3.571428571428571
5,1,347,3,0.8645533141210375
5,11,122,3,2.459016393442623
5,40,91,4,4.395604395604396
5,46,89,2,2.247191011235955
5,36,132,1,0.7575757575757576
5,32,169,3,1.7751479289940828
5,0,293,2,0.6825938566552902
5,65,102,5,4.901960784313726
5,57,237,4,1.6877637130801686
5,24,133,6,4.511278195488721
5,55,137,2,1.4598540145985401
5,3,110,0,0.0
5,48,220,2,0.9090909090909091
5,18,426,0,0.0
5,37,104,4,3.8461538461538463
5,63,142,0,0.0
5,54,102,1,0.9803921568627451
5,9,51,2,3.9215686274509802
5,39,65,1,1.5384615384615385
5,13,437,3,0.6864988558352403
5,59,413,5,1.2106537530266344
5,49,135,0,0.0
5,64,216,7,3.2407407407407405
5,25,55,0,0.0
5,8,158,0,0.0
5,10,284,3,1.056338028169014
5,53,80,1,1.25
5,61,75,0,0.0
5,5,99,3,3.0303030303030303
5,19,191,1,0.5235602094240838
5,22,109,0,0.0
5,28,125,4,3.2
5,7,109,0,0.0
5,62,74,0,0.0
5,16,121,2,1.6528925619834711
5,31,82,2,2.4390243902439024
5,21,109,0,0.0
5,30,121,2,1.6528925619834711
5,27,129,4,3.10077519379845
5,68,157,2,1.2738853503184715
5,14,79,0,0.0
5,41,33,1,3.0303030303030303
5,26,84,1,1.1904761904761905
5,23,99,1,1.0101010101010102
5,45,48,0,0.0
5,4,82,0,0.0
5,33,139,4,2.877697841726619
5,52,58,2,3.4482758620689653
5,43,57,2,3.508771929824561
5,67,58,1,1.7241379310344827
5,2,82,1,1.2195121951219512
6,51,126,0,0.0
6,53,72,0,0.0
6,45,7073,45,0.6362222536406051
6,14,255,4,1.5686274509803921
6,6,179,1,0.5586592178770949
6,32,96,4,4.166666666666666
6,3,230,2,0.8695652173913043
6,21,64,2,3.125
6,39,260,5,1.9230769230769231
6,19,115,2,1.7391304347826086
6,1,146,0,0.0
6,25,277,4,1.444043321299639
6,12,98,0,0.0
6,26,260,5,1.9230769230769231
6,2,136,2,1.4705882352941175
6,18,124,0,0.0
6,33,120,3,2.5
6,8,281,2,0.7117437722419928
6,37,310,0,0.0
6,10,342,0,0.0
6,46,66,3,4.545454545454546
6,72,72,0,0.0
6,55,189,6,3.1746031746031744
6,23,357,2,0.5602240896358543
6,41,261,1,0.38314176245210724
6,16,155,1,0.6451612903225806
6,4,230,5,2.1739130434782608
6,28,256,5,1.953125
6,63,107,0,0.0
6,9,264,0,0.0
6,64,156,0,0.0
6,68,156,2,1.282051282051282
6,67,245,0,0.0
