Block_ID,Cluster_ID,Security,Cluster_Size
6,35,DSGT,55
6,35,ECPG,55
6,35,ENAKF,55
6,35,EONGY,55
6,35,ESGR,55
6,35,GLGDF,55
6,35,GRDZF,55
6,35,GRST,55
6,35,GSRX,55
6,35,HAWLL,55
6,35,JBL,55
6,35,LWLG,55
6,35,MCAP,55
6,35,MLLOF,55
6,35,OJSY,55
6,35,PVEG,55
6,35,RIDYF,55
6,35,RITT,55
6,35,RWEOY,55
6,35,SBOX,55
6,35,SHEN,55
6,35,SKLYF,55
6,35,SNCR,55
6,35,SPOK,55
6,35,STJO,55
6,35,SYNE,55
6,35,TCLAF,55
6,35,THRM,55
6,35,TIPT,55
6,35,TOMZ,55
6,35,TRRVF,55
6,35,UFCS,55
6,35,UMC,55
6,35,UPCO,55
6,35,VTKLF,55
6,35,WIRX,55
6,35,XTNT,55
6,40,ACRB,228
6,40,ACUS,228
6,40,ADLI,228
6,40,ADXRF,228
6,40,AFMJF,228
6,40,AFSIA,228
6,40,AFSIB,228
6,40,AFSIC,228
6,40,AFSIM,228
6,40,AFSIN,228
6,40,AFSIP,228
6,40,AGZNF,228
6,40,ALNPF,228
6,40,ALTB,228
6,40,ALVRQ,228
6,40,ALX,228
6,40,AMLH,228
6,40,AMMCF,228
6,40,ANLDF,228
6,40,ANTE,228
6,40,ANTMF,228
6,40,AOREF,228
6,40,APDN,228
6,40,APHD,228
6,40,APWC,228
6,40,ARNI,228
6,40,ARTH,228
6,40,ASPZ,228
6,40,AVOA,228
6,40,AXPWQ,228
6,40,BDUUY,228
6,40,BDYS,228
6,40,BERI,228
6,40,BFZ,228
6,40,BJINF,228
6,40,BLHEY,228
6,40,BLKCF,228
6,40,BNY,228
6,40,BSRUF,228
6,40,BUKS,228
6,40,BYU,228
6,40,CAMZF,228
6,40,CCGM,228
6,40,CCOJF,228
6,40,CCTTF,228
6,40,CDJM,228
6,40,CEGMF,228
6,40,CESTF,228
6,40,CGKEY,228
6,40,CHNTF,228
6,40,CIZN,228
6,40,CKPDY,228
6,40,CLYYF,228
6,40,CMU,228
6,40,CRMBQ,228
6,40,CRVL,228
6,40,CTRE,228
6,40,DIGTF,228
6,40,DLPN,228
6,40,DSHKO,228
6,40,DUK,228
6,40,DUOT,228
6,40,DYNR,228
6,40,ECLMF,228
6,40,EESO,228
6,40,EIG,228
6,40,EIX,228
6,40,EKNL,228
6,40,ELROF,228
