Security,Percent_Return,Blocks_Appeared,Unique_Clusters,Cluster_Changes,Stability_Score,Cluster_Sequence
EGOC,10137.894558185044,10,9,9,0.0,"[45, 51, 35, 47, 52, 35, 13, 39, 12, 62]"
AMEUF,9968.142918178151,10,8,9,0.0,"[5, 34, 50, 60, 30, 50, 11, 7, 58, 50]"
GRHI,9959.999345746432,10,10,9,0.0,"[48, 42, 22, 3, 26, 64, 59, 68, 18, 2]"
NNYR,9900.000727595265,10,10,9,0.0,"[1, 25, 32, 40, 0, 64, 8, 47, 38, 35]"
CTNI,9900.000727595265,10,9,9,0.0,"[31, 57, 50, 14, 13, 59, 58, 59, 6, 25]"
NEVE,9900.000223517505,10,10,9,0.0,"[60, 30, 41, 46, 11, 37, 42, 66, 36, 27]"
XEPRF,9900.000029103749,10,10,9,0.0,"[5, 32, 48, 50, 42, 38, 40, 68, 18, 35]"
GMZP,9770.00015352639,10,8,8,0.11111111111111116,"[25, 4, 35, 31, 3, 24, 4, 7, 61, 61]"
KYNC,9629.412137066694,10,10,9,0.0,"[31, 3, 46, 50, 25, 42, 45, 15, 48, 16]"
HERF,9359.45918064559,10,10,9,0.0,"[50, 19, 14, 36, 6, 41, 62, 35, 64, 11]"
SEGI,9336.500217736553,10,9,9,0.0,"[13, 57, 49, 48, 63, 36, 57, 65, 68, 24]"
INSD,9170.050949869621,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 68, 38, 35]"
FERN,8949.999783662282,10,9,9,0.0,"[6, 61, 12, 22, 1, 32, 2, 12, 55, 53]"
STZU,8900.000072759125,10,9,9,0.0,"[2, 3, 49, 50, 13, 51, 46, 68, 3, 0]"
MZPS,8900.000072759125,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 68, 38, 35]"
RVTI,8782.105122298684,10,9,9,0.0,"[4, 45, 57, 13, 2, 57, 36, 9, 28, 10]"
IHAI,8744.142685733288,10,10,9,0.0,"[37, 38, 29, 32, 27, 47, 20, 26, 17, 13]"
SDAD,8604.41464698752,10,10,9,0.0,"[59, 0, 41, 35, 12, 27, 3, 37, 38, 19]"
BTNY,8600.967581052259,10,9,9,0.0,"[33, 3, 55, 15, 1, 33, 19, 17, 64, 2]"
BSSMF,8595.65202250715,10,9,9,0.0,"[61, 3, 32, 46, 58, 43, 45, 48, 58, 17]"
PUGE,8270.000335421622,10,10,9,0.0,"[52, 50, 13, 33, 27, 29, 28, 69, 60, 8]"
CAMG,8253.33342149858,10,10,9,0.0,"[44, 45, 49, 46, 11, 65, 38, 66, 36, 23]"
BDCM,8229.411456198643,10,8,8,0.11111111111111116,"[2, 34, 49, 1, 40, 29, 35, 29, 29, 51]"
AVRI,8004.767951500606,10,10,9,0.0,"[4, 0, 20, 40, 12, 29, 14, 13, 30, 22]"
HYHY,7800.0002837623015,10,10,9,0.0,"[33, 58, 13, 48, 6, 34, 60, 9, 21, 0]"
GYGC,7755.963412810318,10,10,9,0.0,"[56, 3, 57, 37, 40, 12, 41, 68, 48, 55]"
RINO,7742.028587582956,10,10,9,0.0,"[49, 58, 21, 13, 7, 42, 45, 52, 17, 6]"
GMPW,7595.10311404334,10,9,9,0.0,"[30, 12, 20, 51, 55, 1, 31, 45, 9, 55]"
HENI,7462.947630524698,10,9,9,0.0,"[3, 30, 15, 62, 52, 64, 39, 55, 60, 52]"
MDAW,7400.000254658443,10,8,8,0.11111111111111116,"[61, 49, 38, 47, 44, 68, 68, 41, 38, 4]"
ACCD,7345.454245362405,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 68, 38, 35]"
HYWI,7199.999999999998,10,8,9,0.0,"[62, 3, 43, 50, 31, 42, 45, 26, 31, 3]"
ZUKI,7197.143121334425,10,9,9,0.0,"[46, 24, 44, 47, 7, 51, 69, 58, 35, 7]"
ILST,7067.500159164237,10,9,8,0.11111111111111116,"[56, 54, 9, 8, 13, 13, 25, 7, 66, 51]"
APSI,7012.149173890448,10,9,9,0.0,"[39, 33, 13, 44, 32, 27, 6, 24, 44, 68]"
MWWC,6948.9132431716125,10,9,9,0.0,"[15, 3, 45, 50, 13, 40, 45, 19, 29, 6]"
NHYF,6899.999927239874,10,9,8,0.11111111111111116,"[20, 3, 46, 50, 22, 64, 17, 68, 68, 35]"
PDIV,6899.409666111427,10,10,9,0.0,"[59, 0, 17, 3, 13, 10, 57, 66, 45, 56]"
JPEX,6593.616708526118,10,9,8,0.11111111111111116,"[34, 56, 22, 55, 24, 24, 29, 11, 32, 6]"
IBGR,6438.986324319735,10,10,9,0.0,"[37, 51, 21, 40, 24, 26, 62, 20, 46, 4]"
SPOI,6284.99994300306,10,9,9,0.0,"[32, 47, 12, 9, 25, 35, 39, 2, 55, 35]"
IONAF,6270.000270665591,10,10,9,0.0,"[15, 46, 10, 44, 13, 23, 45, 61, 38, 35]"
PTZH,6249.999810010199,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 68, 38, 35]"
PHIL,6145.000119689451,10,10,9,0.0,"[53, 18, 32, 5, 25, 67, 17, 0, 50, 35]"
TNBI,6055.000228174054,10,10,9,0.0,"[20, 0, 41, 46, 19, 44, 55, 49, 43, 56]"
AXTG,6053.799748193983,10,10,9,0.0,"[2, 35, 14, 52, 12, 38, 45, 68, 21, 36]"
SHGI,6040.000063329987,10,10,9,0.0,"[10, 58, 37, 26, 23, 19, 50, 65, 39, 33]"
KAST,5962.074906276221,10,10,9,0.0,"[34, 0, 47, 22, 42, 64, 40, 6, 4, 20]"
APTY,5921.666627838327,10,9,9,0.0,"[61, 3, 55, 40, 25, 11, 60, 37, 60, 35]"
TRYXF,5890.999838765092,10,10,9,0.0,"[61, 3, 52, 1, 25, 57, 17, 9, 18, 7]"
VMNT,5887.450107651598,10,9,9,0.0,"[61, 3, 43, 22, 25, 48, 3, 5, 50, 19]"
CCWF,5785.833129122151,10,10,9,0.0,"[33, 42, 45, 12, 57, 30, 13, 63, 29, 53]"
HRBR,5739.394064134732,10,8,9,0.0,"[62, 2, 15, 57, 25, 15, 26, 32, 6, 15]"
MOBQ,5606.060527974326,10,10,9,0.0,"[4, 62, 12, 35, 51, 47, 16, 23, 26, 28]"
SNTE,5552.084377493749,10,10,9,0.0,"[54, 19, 49, 33, 40, 43, 32, 63, 25, 8]"
BISA,5505.999821884852,10,10,9,0.0,"[46, 1, 14, 9, 12, 38, 25, 66, 58, 24]"
DROR,5464.736716338301,10,10,9,0.0,"[48, 57, 29, 62, 46, 52, 2, 7, 38, 49]"
NILA,5423.437698010134,10,10,9,0.0,"[6, 11, 28, 33, 25, 55, 24, 0, 20, 21]"
